id,proponente_id,projeto,setor,macrosetor,impacto-esperado,status,alcance geográfico,público-alvo
232,232,Instituto MRV,Educação,Educação,"Social, Econômico",Em andamento,Local,População
233,233,ElectricRide Sharing,Sustentabilidade,Sustentabilidade,"Ambiental, Econômico",Em andamento,Local,Funcionários
234,234,Récolte Richesse (Colheita Riqueza),Agricultura,Agricultura e Alimentação,"Econômico, Ambiental",Em andamento,Local,Consumidores
235,235,ConstruyeJuntos,Social,Serviços Sociais,Social,Em planejamento,Nacional,Consumidores
236,236,Arte para Impacto: Oficinas de Expressão Criativa,Arte,Arte e Cultura,Social,Em planejamento,Local,Funcionários
237,237,Projeto Equidade na CPFL Energia,Social,Serviços Sociais,Social,Em andamento,Nacional,População
238,238,Zonas de Zen,Bem-estar,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
239,239,Estudos de Cultura de Feedback,Educação,Educação,Econômico,Em andamento,Local,Funcionários
240,240,Inclusão no Ambiente de Trabalho,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários
241,241,GreenRoute Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Funcionários e Empresas
242,242,EcoLearn: Aprendizado Ecológico,Educação Ambiental,Educação e Meio Ambiente,"Ambiental, Social",Em andamento,Local,Funcionários e Empresas
243,243,Como Podemos Viver Melhor?,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Consumidores e Empresas
244,244,EcoTrucking,Transporte,Transporte e Logística,"Ambiental, Econômico",Em andamento,Local,Consumidores
245,245,Arco-íris da Inclusão,Social,Serviços Sociais,"Social, Cultural",Em andamento,Nacional,Consumidores
246,246,Saúde e Segurança,Saúde,Saúde e Bem-estar,Social,Em planejamento,Local,Funcionários
247,247,Programa Inclusão na C&A,Social,Serviços Sociais,Social,Em andamento,Nacional,Funcionários
248,248,Estudos de Ecossistemas Aquáticos com DNA Metabarcoding,Ecologia,Meio Ambiente,"Científico, Ambiental",Em planejamento,Nacional,Funcionários
249,249,Revive,Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,Consumidores
250,250,Foco no Bem-Estar,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
251,251,Programa de Diversidade na Amazon,Social,Serviços Sociais,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
252,252,Project HOPE: Healthcare Outreach Program for Underserved Communities,Saúde Pública,Saúde e Bem-estar,Social,Em planejamento,Local,Funcionários
253,253,Bem-Estar Básico,Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,Consumidores e Empresas
254,254,Quem Ganha com a Inovação?,Economia,Economia e Finanças,Econômico,Em planejamento,Local,Funcionários
255,255,Glow Up,Bem-estar,Saúde e Bem-estar,"Social, Econômico",Em andamento,Local,Consumidores
256,256,Atlas do Avanço,Educação,Educação,"Social, Científico",Em andamento,Local,Funcionários e Empresas
257,257,Farol do Desenvolvimento,Econômico,Economia e Finanças,"Econômico, Social",Em andamento,Nacional,Consumidores e Empresas
258,258,Zênite do Zelo,Desenvolvimento Pessoal,Educação,Social,Em andamento,Local,Consumidores e Empresas
259,259,União Urbana,Urbanismo,Desenvolvimento Urbano e Infraestrutura,"Social, Econômico",Em andamento,Nacional,Funcionários
260,260,Parceria com Escolas para Implantação de Projetos de Compostagem,"Educação, Sustentabilidade",Educação,"Ambiental, Social",Em andamento,Nacional,Funcionários
261,261,Por Que Nos Importamos?,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
262,262,Promoção da Saúde Mental,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Consumidores
263,263,AeroAgilidade,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Empresas
264,264,Valoriza Vida,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
265,265,Certificação de empresas brasileiras como B-CORP.,Negócios,Desenvolvimento Econômico e Empresarial,"Econômico, Social",Em andamento,Local,Empresas
266,266,Desenvolvimento de Fármacos com AI,Farmacêutica,Saúde e Indústria,"Científico, Econômico",Em andamento,Local,Consumidores
267,267,CAMPO (Capacitação Agrícola e Manejo de Práticas Orgânicas),Agricultura,Agricultura e Alimentação,"Econômico, Ambiental",Em andamento,Nacional,Funcionários
268,268,Recursos Renováveis,Energia,Energia e Recursos,"Econômico, Ambiental",Em planejamento,Nacional,Funcionários
269,269,Iniciativa de Desenvolvimento na Visa,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
270,270,Nêutron de Newton,Científico,Ciência e Pesquisa,Científico,Em andamento,Nacional,Consumidores e Empresas
271,271,Espaço Sideral,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários
272,272,IA em Neurociência Computacional,Científico,Ciência e Pesquisa,Científico,Em planejamento,Local,Consumidores e Empresas
273,273,AirFlow,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Funcionários
274,274,Iniciativa Diversidade na Localiza,Social,Serviços Sociais,Social,Em planejamento,Nacional,Consumidores e Empresas
275,275,Pilar do Progresso,Desenvolvimento Urbano,Desenvolvimento Urbano e Infraestrutura,"Social, Econômico",Em andamento,Nacional,Consumidores
276,276,AceleraTalentos,Educação,Educação,Econômico,Em andamento,Nacional,Empresas
277,277,Projeto de Inclusão de Pessoas com Deficiência no Mercado de Trabalho,Recursos Humanos,Gestão e Recursos Humanos,"Social, Econômico",Em planejamento,Local,População
278,278,Quando Seremos Iguais?,Direitos Humanos,Direito e Governança,Social,Em andamento,Local,Empresas
279,279,Estudos de Fenômenos Quânticos em Nanoestruturas,Física Quântica,Ciência e Pesquisa,Científico,Em planejamento,Nacional,Consumidores e Empresas
280,280,FutureTransit Tech,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Consumidores
281,281,RobóticaResiliente,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Nacional,Consumidores e Empresas
282,282,RizomaRubi,Biologia,Ciência e Pesquisa,Científico,Em planejamento,Local,População
283,283,FutureTech Labs,Pesquisa e Desenvolvimento Tecnológico,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários e Empresas
284,284,Formação e capacitação de mulheres para ambientes e lideranças fabris,Educação,Educação,Econômico,Em andamento,Local,Funcionários
285,285,Estudio de Satisfacción del Empleado,Educação,Educação,Econômico,Em andamento,Nacional,Funcionários
286,286,Catalyst,Inovação,Empreendedorismo e Inovação,"Econômico, Científico",Em andamento,Local,Empresas
287,287,Programa de Biologia Evolutiva Experimental,Biologia Evolutiva,Ciência e Pesquisa,Científico,Em andamento,Local,População
288,288,Iniciativa de Pesquisa em Neurociência Computacional,Científico,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários
289,289,GenomaGlobal,Genética,Ciência e Pesquisa,"Científico, Econômico",Em andamento,Nacional,Funcionários
290,290,WheelsOfTomorrow,TI,Tecnologia e Informação,Econômico,Em andamento,Local,População
291,291,Iniciativa de Inclusão de Pessoas com Deficiência,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários
292,292,Projeto de Criação de Hortas Comunitárias em Bairros Urbanos,Agricultura,Agricultura e Alimentação,"Social, Ambiental",Em andamento,Local,"Consumidores, Empresas e Governo"
293,293,PromoveCultura,Cultura,Arte e Cultura,Social,Em planejamento,Nacional,População
294,294,BemEstarBio,Biotecnologia,Engenharia,"Social, Econômico",Em planejamento,Local,"Consumidores, Empresas e Governo"
295,295,Programa Inclusão na Ultrapar,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários
296,296,Projeto Equidade na Alpargatas,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários
297,297,Greening the Grid: Transição para Fontes de Energia Renovável,Energia,Energia e Recursos,Ambiental,Em andamento,Nacional,Funcionários
298,298,SemeiaSucesso,Desenvolvimento de Carreira,Educação,Econômico,Em andamento,Nacional,População
299,299,TechTravels,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,População
300,300,SmartRoads,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Funcionários
301,301,Conexão Humana,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários e Empresas
302,302,InovaçãoSaúde,Saúde,Saúde e Bem-estar,"Científico, Social",Em andamento,Local,Consumidores e Empresas
303,303,Arco da Inovação,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em planejamento,Local,Empresas
304,304,Programa de Transformação na LinkedIn,Tecnologia,Tecnologia e Inovação,"Científico, Social",Em andamento,Nacional,Consumidores
305,305,Programa de Capacitação em Tecnologia para Pessoas com Deficiência Visual,"Educação, Tecnologia",Educação,Social,Em andamento,Local,Consumidores
306,306,Promoção da Felicidade,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
307,307,Por Que Não Agora?,Motivação,Educação,Social,Em andamento,Local,Funcionários e Empresas
308,308,Parceria com ONGs para Promoção da Economia Criativa em Favelas,"Negócios, Social",Desenvolvimento Econômico e Empresarial,"Social, Econômico",Em andamento,Local,Funcionários
309,309,Raízes do Crescimento,Desenvolvimento Econômico,Desenvolvimento Econômico e Empresarial,Econômico,Em andamento,Local,Funcionários
310,310,Empreendedorismo Social: Capacitação de Microempreendedores,Empreendedorismo Social,Empreendedorismo e Inovação,"Econômico, Social",Em andamento,Nacional,Funcionários
311,311,FutureMobility Tech,TI,Tecnologia e Informação,Econômico,Em planejamento,Local,Funcionários
312,312,Atlas Ambiental,Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários e Empresas
313,313,Iniciativa de Bem-Estar na Facebook,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Empresas
314,314,EnviroWheels,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Local,Consumidores
315,315,Estudos de Liderança Eficaz,Educação,Educação,Econômico,Em planejamento,Local,Funcionários e Empresas
316,316,EnergiaEmpodera,Energia,Energia e Recursos,"Econômico, Social",Em andamento,Local,Empresas
317,317,Olímpia Organização,Desporto,Desporto e Lazer,"Social, Econômico",Em planejamento,Local,Consumidores e Empresas
318,318,Vitalize,Saúde,Saúde e Bem-estar,"Social, Ambiental",Em andamento,Nacional,"Consumidores, Empresas e Governo"
319,319,Iniciativa de Desenvolvimento de Liderança,Educação,Educação,Econômico,Em andamento,Local,População
320,320,UrbanShift,TI,Tecnologia e Informação,Econômico,Em andamento,Local,População
321,321,EmpowerTech: Capacitação Tecnológica,Tecnologia,Tecnologia e Inovação,"Social, Econômico",Em planejamento,Local,Empresas
322,322,Pirâmide do Poder,Política,Direito e Governança,"Social, Econômico",Em andamento,Local,Funcionários
323,323,Programa de Educação Financeira e Previdenciária,Educação,Educação,"Social, Econômico",Em andamento,Local,Funcionários e Empresas
324,324,Projeto de Psicologia Cognitiva Aplicada,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Consumidores
325,325,Rota de Reciclagem,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Consumidores
326,326,Desenvolvimento de Tecnologia para Monitoramento de Incidência de Doenças Transmitidas por Vetores,"Tecnologia, Saúde",Tecnologia e Inovação,"Ambiental, Científico",Em andamento,Local,Funcionários
327,327,GELO (Gestão Ecológica e Liderança Organizada),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
328,328,Programa de Desenvolvimento Organizacional,Gestão,Estratégia e Gestão,"Social, Econômico",Em andamento,Local,Consumidores
329,329,Terra Firma (Terra Firme),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
330,330,Ações de Educação Ambiental em Unidades de Conservação,"Educação, Sustentabilidade",Educação,"Ambiental, Social",Em andamento,Local,Funcionários e Empresas
331,331,Nutrição infantil via merenda escolar,"Saúde, Educação",Saúde e Bem-estar,"Social, Ambiental",Em andamento,Nacional,Empresas
332,332,EcoMobilize,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Empresas
333,333,SEMENTE (Sistemas Ecológicos e Métodos para Educação e Natureza Transformadora),Educação,Educação,"Ambiental, Social",Em planejamento,Local,População
334,334,Caleidoscópio Cultural,Cultura,Arte e Cultura,"Social, Cultural",Em andamento,Local,Consumidores
335,335,Programa de Estudos de Biologia Celular,Biologia Celular,Ciência e Pesquisa,Científico,Em andamento,Local,Consumidores
336,336,Diversity in Tech: Promoting Diversity in the Tech Industry,Diversidade e Inclusão,Direito e Governança,Social,Em planejamento,Local,Empresas
337,337,EducaçãoConsciente,Educação,Educação,Social,Em andamento,Local,Funcionários e Empresas
338,338,DespertaDesejo,Marketing,Marketing e Comunicação,Econômico,Em andamento,Local,Consumidores e Empresas
339,339,Vênus de Vida,Saúde,Saúde e Bem-estar,"Social, Ambiental",Em planejamento,Local,População
340,340,Estudos de Cultura Organizacional,Educação,Educação,Econômico,Em planejamento,Local,Empresas
341,341,CrescerCompaixão,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários e Empresas
342,342,GênioGeométrico,Matemática,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários
343,343,Projeto de Inclusão na Tesla,Social,Serviços Sociais,Social,Em andamento,Nacional,Empresas
344,344,GENTE (Geração de Energia Nova e Tecnologias Ecoeficientes),Energia,Energia e Recursos,"Econômico, Ambiental",Em andamento,Local,Empresas
345,345,Parceria com Instituições de Ensino Superior para Pesquisa em Energias Renováveis,"Educação, Tecnologia",Educação,"Ambiental, Científico",Em andamento,Local,Funcionários
346,346,Projeto Futuro Brilhante,Educação,Educação,Social,Em planejamento,Nacional,Funcionários
347,347,Parceria com ONGs para Recuperação de Áreas Contaminadas,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Funcionários
348,348,DesenvolveCidades,Urbanismo,Desenvolvimento Urbano e Infraestrutura,"Social, Ambiental",Em planejamento,Local,Funcionários
349,349,EnergiaEsmeralda,Energia,Energia e Recursos,"Ambiental, Econômico",Em planejamento,Local,Empresas
350,350,Projeto de Gestão de Talentos,Recursos Humanos,Gestão e Recursos Humanos,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
351,351,Universidade Corporativa,Educação,Educação,"Social, Econômico",Em andamento,Local,Funcionários
352,352,PESCA (Programa de Educação Sustentável e Conservação Aquática),Educação,Educação,"Ambiental, Econômico",Em andamento,Local,Consumidores e Empresas
353,353,UrbanDrive,Transporte Urbano,Desenvolvimento Urbano e Infraestrutura,"Ambiental, Econômico",Em andamento,Local,População
354,354,Projeto Equidade na SulAmérica,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários e Empresas
355,355,Iniciativa de Biologia Estrutural,Biologia Estrutural,Ciência e Pesquisa,Científico,Em planejamento,Local,"Consumidores, Empresas e Governo"
356,356,KinéticaCultural,Cultura,Arte e Cultura,"Cultural, Social",Em andamento,Local,Empresas
357,357,Horizon Harmonieux (Horizonte Harmonioso),Social,Serviços Sociais,"Social, Ambiental",Em planejamento,Local,Funcionários
358,358,Templo do Tempo,Cultural,Arte e Cultura,Cultural,Em planejamento,Local,Consumidores
359,359,DataSavvy,Análise de Dados,Tecnologia e Dados,"Econômico, Científico",Em andamento,Local,Consumidores e Empresas
360,360,Programa Inclusão na Suzano,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores e Empresas
361,361,Desenvolvimento de Tecnologia para Reciclagem de Resíduos de Eletrônicos,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em andamento,Local,"Consumidores, Empresas e Governo"
362,362,Cultura de Colaboração,Educação,Educação,Econômico,Em planejamento,Local,Consumidores
363,363,GreenTech Drive,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em planejamento,Local,Consumidores e Empresas
364,364,CUIDA (Comunidade Unida pela Inclusão e Desenvolvimento de Atividades),Social,Serviços Sociais,Social,Em andamento,Local,Consumidores e Empresas
365,365,Impacto Positivo,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores
366,366,Programa de Oceanografia Aplicada,Científico,Ciência e Pesquisa,"Ambiental, Científico",Em andamento,Nacional,Consumidores
367,367,Alimentação Saudável,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
368,368,ElectricUrban,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Local,Funcionários
369,369,Astronomia Observacional,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Nacional,População
370,370,Projeto Futuro,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
371,371,Iniciativa de Promoção da Saúde Mental,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
372,372,Campanha de Conscientização sobre Desperdício de Alimentos em Supermercados,Sustentabilidade,Sustentabilidade,"Social, Ambiental",Em planejamento,Nacional,Consumidores e Empresas
373,373,Educação Continuada,Educação,Educação,Social,Em planejamento,Local,Funcionários
374,374,Programa de Genética de Populações,Genética,Ciência e Pesquisa,Científico,Em planejamento,Local,Empresas
375,375,CRISPR-Cas12 para Edição Precisa de Genes,Genética,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários
376,376,Iniciativa Resiliência,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
377,377,Projeto Igualdade na Votorantim,Social,Serviços Sociais,Social,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
378,378,CriaçãoVerde,Arte e Meio Ambiente,Arte e Cultura,"Ambiental, Social",Em andamento,Local,Consumidores
379,379,ProsperaRH,Educação,Educação,Econômico,Em planejamento,Nacional,População
380,380,Iniciativa Diversidade na BRF,Social,Serviços Sociais,Social,Em andamento,Nacional,Empresas
381,381,Projeto de Reutilização de Materiais de Construção em Obras Públicas,Construção Sustentável,Sustentabilidade,"Ambiental, Social",Em andamento,Nacional,População
382,382,Transfórmate+,Educação,Educação,Social,Em andamento,Local,Consumidores
383,383,Transcendental Transport,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Local,Consumidores e Empresas
384,384,Olho da Verdade,Jornalismo,Comunicação e Mídia,Social,Em andamento,Nacional,Funcionários
385,385,MotionMasters,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Funcionários
386,386,Relógio do Mundo,TI,Tecnologia e Informação,"Econômico, Científico",Em planejamento,Local,População
387,387,Programa de Transformação na Unilever,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em planejamento,Nacional,Consumidores
388,388,Projeto de Avaliação de Desempenho,Recursos Humanos,Gestão e Recursos Humanos,"Econômico, Social",Em andamento,Local,Empresas
389,389,Programa Pequenos Negócios Fortalecidos,Desenvolvimento Empresarial,Desenvolvimento Econômico e Empresarial,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
390,390,Oasis da Inovação,TI,Tecnologia e Informação,"Econômico, Científico",Em planejamento,Nacional,Consumidores e Empresas
391,391,EmpowerED: Tecnologia Educacional para Escolas Carentes,Educação Tecnológica,Tecnologia e Educação,Social,Em andamento,Nacional,Funcionários
392,392,ConectaCidades,"Urbanismo, Tecnologia",Desenvolvimento Urbano e Infraestrutura,"Social, Econômico",Em andamento,Local,Consumidores e Empresas
393,393,Fênix Financeira,Finanças,Economia e Finanças,Econômico,Em planejamento,Nacional,Funcionários
394,394,Nutrição Nítida,Saúde,Saúde e Bem-estar,"Social, Ambiental",Em andamento,Local,Consumidores
395,395,FutureTransshipment,TI,Tecnologia e Informação,Econômico,Em andamento,Nacional,Consumidores
396,396,Jovens com Juízo,Educação,Educação,Social,Em andamento,Local,Empresas
397,397,CleanEnergy Tech,"Tecnologia, Energia",Tecnologia e Inovação,"Ambiental, Econômico",Em planejamento,Local,Funcionários e Empresas
398,398,Optimize,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Nacional,Funcionários
399,399,Sócrates Sociais,Educação,Educação,"Social, Cultural",Em andamento,Local,Consumidores e Empresas
400,400,Carpe Diem Comunidade,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários
401,401,Quimera de Qualidade,Gestão da Qualidade,Estratégia e Gestão,Econômico,Em andamento,Local,Consumidores e Empresas
402,402,Projeto Equidade na Embraer,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores
403,403,SustainCity: Cidade Sustentável,Urbanismo Sustentável,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Consumidores e Empresas
404,404,Diamante da Diversidade,Diversidade e Inclusão,Direito e Governança,Social,Em planejamento,Nacional,Funcionários
405,405,FutureDrone Delivery,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Funcionários
406,406,Arte e Ação,Cultura,Arte e Cultura,"Cultural, Social",Em andamento,Local,Funcionários
407,407,Ações de Promoção da Saúde Mental em Ambientes de Trabalho,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Funcionários
408,408,Ecologia Computacional,Ecologia,Meio Ambiente,Científico,Em andamento,Local,Funcionários
409,409,Pioneiros da Paz,Paz e Segurança,Direito e Governança,Social,Em planejamento,Local,Funcionários
410,410,Transforma+RH,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
411,411,Estudos de Workforce Planning,Educação,Educação,Econômico,Em andamento,Local,Funcionários e Empresas
412,412,Programa de Educação Continuada,Educação,Educação,"Social, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
413,413,Progresso Participativo,Social,Serviços Sociais,"Social, Econômico",Em planejamento,Nacional,"Consumidores, Empresas e Governo"
414,414,Física de Partículas Avançada,Física,Ciência e Pesquisa,Científico,Em planejamento,Nacional,Consumidores
415,415,Estudos de Materiais Supercondutores para Eletrônica Quântica,Física Quântica,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários e Empresas
416,416,EcoVida: Programa de Sensibilização Ambiental em Comunidades,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Nacional,Funcionários
417,417,CultivaComunidade,Social,Serviços Sociais,"Social, Econômico",Em planejamento,Local,Consumidores e Empresas
418,418,Empower,Social,Serviços Sociais,"Social, Econômico",Em planejamento,Local,População
419,419,MARÉ (Movimento Ambiental para a Revitalização Ecológica),Ambiental,Meio Ambiente,Ambiental,Em andamento,Nacional,Funcionários
420,420,EcoDelivery,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Consumidores
421,421,SustentaSocial,Social,Serviços Sociais,"Social, Ambiental",Em andamento,Local,Empresas
422,422,Iniciativa de Bienestar Laboral,Saúde,Saúde e Bem-estar,Social,Em planejamento,Local,População
423,423,Projeto Abrace-se,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários
424,424,Alimentazione Alma (Alimentação Alma),Saúde,Saúde e Bem-estar,"Social, Ambiental",Em andamento,Nacional,Funcionários
425,425,FuturoSostenible,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Consumidores
426,426,Projeto de Diversidade na IBM,Social,Serviços Sociais,Social,Em andamento,Nacional,Consumidores
427,427,Surge,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,População
428,428,Projeto de Construção Sustentável em Áreas Urbanas,Construção Sustentável,Sustentabilidade,"Ambiental, Econômico",Em andamento,Local,Consumidores e Empresas
429,429,YouLead: Liderança Juvenil,Desenvolvimento Juvenil,Educação,Social,Em andamento,Local,População
430,430,Como Preservar a Natureza?,Conservação Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Consumidores e Empresas
431,431,Parceria com Escolas para Implementação de Projetos de Compostagem,"Educação, Sustentabilidade",Educação,"Ambiental, Social",Em planejamento,Local,Empresas
432,432,FutureTransit,Transporte,Transporte e Logística,"Ambiental, Econômico",Em andamento,Nacional,Consumidores
433,433,CleanCommute,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Funcionários
434,434,Diversity in Tech: Incentivo à Diversidade na Indústria de Tecnologia,Social,Serviços Sociais,Social,Em andamento,Nacional,Funcionários e Empresas
435,435,Programa de Capacitação em Empreendedorismo para Jovens de Comunidades Carentes,Educação,Educação,"Social, Econômico",Em andamento,Local,População
436,436,GreenAir,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Consumidores e Empresas
437,437,Ulisses Urbanismo,Urbanismo,Desenvolvimento Urbano e Infraestrutura,"Social, Econômico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
438,438,Biomas,Meio Ambiente,Meio Ambiente,Ambiental,Em planejamento,Nacional,Consumidores
439,439,AçãoComunitária,Desenvolvimento Comunitário,Desenvolvimento Comunitário,Social,Em andamento,Local,Empresas
440,440,Projeto Transformação na Microsoft,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em planejamento,Nacional,Consumidores e Empresas
441,441,Coração da Comunidade,Desenvolvimento Comunitário,Desenvolvimento Comunitário,Social,Em andamento,Local,Funcionários
442,442,Caminhos para o Sucesso,Educação,Educação,Econômico,Em planejamento,Local,Funcionários
443,443,SpeedScape,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Funcionários e Empresas
444,444,Projeto Mente Saudável,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,População
445,445,ArtesAnalíticas,Cultura,Arte e Cultura,"Cultural, Científico",Em planejamento,Nacional,Empresas
446,446,Sustainable Finance,Finanças,Economia e Finanças,"Econômico, Ambiental",Em andamento,Nacional,Consumidores e Empresas
447,447,VIVER (Vigilância Inovadora para a Valorização de Ecossistemas Rurais),Ambiental,Meio Ambiente,"Ambiental, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
448,448,Iniciativa de Desenvolvimento na Netflix,Educação,Educação,Econômico,Em planejamento,Nacional,Funcionários
449,449,JuventudeJusta,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários e Empresas
450,450,Programa Empreendedorismo em Ação,Empreendedorismo,Empreendedorismo e Inovação,"Econômico, Social",Em planejamento,Local,"Consumidores, Empresas e Governo"
451,451,Inovação e Aprendizado,Educação,Educação,Econômico,Em andamento,Nacional,Consumidores e Empresas
452,452,Campo de Descobertas,Científico,Ciência e Pesquisa,Científico,Em planejamento,Nacional,Consumidores
453,453,PromoveSustentabilidade,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em planejamento,Local,"Consumidores, Empresas e Governo"
454,454,SmartTrucking,"Transporte, Tecnologia",Transporte e Logística,"Ambiental, Econômico",Em andamento,Local,População
455,455,Programa Empoderamento na JSL,Social,Serviços Sociais,Econômico,Em andamento,Local,Consumidores
456,456,Escudo da Saúde,Saúde Pública,Saúde e Bem-estar,Social,Em andamento,Nacional,Consumidores
457,457,Kalypso Klima,Ambiental,Meio Ambiente,Ambiental,Em planejamento,Local,Funcionários e Empresas
458,458,GreenLiving Tech,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
459,459,EmpowerMulher: Programa de Empreendedorismo Feminino,Social,Serviços Sociais,Econômico,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
460,460,EcoTech Innovations,Inovações em Tecnologia Ecológica,Tecnologia e Meio Ambiente,"Ambiental, Econômico",Em planejamento,Nacional,Consumidores e Empresas
461,461,GreenTech para Agricultura Sustentável,"Tecnologia, Agricultura",Tecnologia e Inovação,"Ambiental, Econômico",Em planejamento,Nacional,Funcionários
462,462,Quête de Qualité (Busca por Qualidade),Negócios,Desenvolvimento Econômico e Empresarial,Econômico,Em planejamento,Local,Empresas
463,463,FutureCycling,Sustentabilidade,Sustentabilidade,"Ambiental, Econômico",Em planejamento,Local,Funcionários e Empresas
464,464,ConexiónEmpatía,Social,Serviços Sociais,Social,Em andamento,Nacional,Funcionários
465,465,MUDA (Movimento Unificado para o Desenvolvimento Ambiental),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Empresas
466,466,Parceria com ONGs para Recuperação de Áreas Degradadas,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,População
467,467,Programa Desperte,Desenvolvimento Pessoal,Educação,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
